中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,228 Mbps,29184 kB/s,29184.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,224 Mbps,28672 kB/s,28672.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,210 Mbps,26931 kB/s,26931.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,154 ms,161 Mbps,20684 kB/s,20684.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,209 ms,117 Mbps,15052 kB/s,15052.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,155 ms,100 Mbps,12902 kB/s,12902.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,196 ms,94 Mbps,12083 kB/s,12083.0
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,185 ms,84 Mbps,10752 kB/s,10752.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,260 ms,84 Mbps,10752 kB/s,10752.0
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,201 ms,80 Mbps,10240 kB/s,10240.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,21 ms,80 Mbps,10240 kB/s,10240.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,20 ms,79 Mbps,10137 kB/s,10137.0
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,220 ms,73 Mbps,9350 kB/s,9350.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,134 ms,71 Mbps,9103 kB/s,9103.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,229 ms,69 Mbps,8869 kB/s,8869.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,48 Mbps,6145 kB/s,6145.0
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,89 ms,47 Mbps,6122 kB/s,6122.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,98 ms,47 Mbps,6045 kB/s,6045.0
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,87 ms,47 Mbps,6040 kB/s,6040.0
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,114 ms,47 Mbps,6033 kB/s,6033.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,99 ms,45 Mbps,5858 kB/s,5858.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,90 ms,45 Mbps,5771 kB/s,5771.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,103 ms,45 Mbps,5764 kB/s,5764.0
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,73 ms,43 Mbps,5560 kB/s,5560.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,266 ms,40 Mbps,5122 kB/s,5122.0
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,302 ms,40 Mbps,5121 kB/s,5121.0
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,6 ms,39 Mbps,5074 kB/s,5074.0
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,221 ms,38 Mbps,4932 kB/s,4932.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,218 ms,37 Mbps,4779 kB/s,4779.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,36 Mbps,4713 kB/s,4713.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,256 ms,36 Mbps,4709 kB/s,4709.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,222 ms,35 Mbps,4584 kB/s,4584.0
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,222 ms,35 Mbps,4581 kB/s,4581.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,251 ms,34 Mbps,4434 kB/s,4434.0
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,103 ms,26 Mbps,3329 kB/s,3329.0
8.219.73.59,443,47.245.127.33,SG,Singapore,隧道,250 ms,25 Mbps,3249 kB/s,3249.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,233 ms,3 Mbps,483 kB/s,483.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,240 ms,3 Mbps,441 kB/s,441.0
130.162.144.191,443,2a09:bac1:3f20::22:123,KR,Seoul,隧道,244 ms,3 Mbps,432 kB/s,432.0
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,245 ms,3 Mbps,432 kB/s,432.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,253 ms,2 Mbps,312 kB/s,312.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,326 ms,0 Mbps,14 kB/s,14.0
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,204 ms,0 Mbps,5 kB/s,5.0
